instance_id,repo,shard,sample_index,temperature,temperature_run_index,seed,collection_status,patch_present,patch_chars,trajectory_messages,model_api_calls,prompt_tokens,completion_tokens,total_tokens,evaluation_status,resolved,trajectory_path,raw_trajectory_path,evaluation_report_path
HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__6hv8icpo,swesmith/HIPS__autograd.ac044f0d,shard-6,0,0.0,0,1776267612,completed,True,7508,48,23,285273,2301,287574,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g05-early-turns-validation-200/collection/shard-6/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__6hv8icpo/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g05-early-turns-validation-200/collection/shard-6/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__6hv8icpo/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__6hv8icpo/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__6hv8icpo.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g05-early-turns-validation-200/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__6hv8icpo/report.json
HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__mpfotnlc,swesmith/HIPS__autograd.ac044f0d,shard-1,0,0.0,0,555909346,model_terminated,False,0,138,68,1228594,13006,1241600,empty_patch,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g05-early-turns-validation-200/collection/shard-1/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__mpfotnlc/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g05-early-turns-validation-200/collection/shard-1/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__mpfotnlc/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__mpfotnlc/HIPS__autograd.ac044f0d.func_pm_ctrl_invert_if__mpfotnlc.traj.json,
HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__08ti6kf9,swesmith/HIPS__autograd.ac044f0d,shard-7,0,0.0,0,388099080,completed,True,8538,48,23,176353,4267,180620,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g05-early-turns-validation-200/collection/shard-7/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__08ti6kf9/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g05-early-turns-validation-200/collection/shard-7/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__08ti6kf9/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__08ti6kf9/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__08ti6kf9.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g05-early-turns-validation-200/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__08ti6kf9/report.json
HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__k8nhlsuh,swesmith/HIPS__autograd.ac044f0d,shard-0,0,0.0,0,1617240292,completed,True,15132,38,18,106994,4560,111554,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g05-early-turns-validation-200/collection/shard-0/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__k8nhlsuh/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g05-early-turns-validation-200/collection/shard-0/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__k8nhlsuh/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__k8nhlsuh/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__k8nhlsuh.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g05-early-turns-validation-200/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_ctrl_shuffle__k8nhlsuh/report.json
HIPS__autograd.ac044f0d.func_pm_op_change__bhb3hni2,swesmith/HIPS__autograd.ac044f0d,shard-1,0,0.0,0,1462043239,completed,True,28602,102,50,806994,13495,820489,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g05-early-turns-validation-200/collection/shard-1/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_op_change__bhb3hni2/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g05-early-turns-validation-200/collection/shard-1/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_op_change__bhb3hni2/HIPS__autograd.ac044f0d.func_pm_op_change__bhb3hni2/HIPS__autograd.ac044f0d.func_pm_op_change__bhb3hni2.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g05-early-turns-validation-200/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.func_pm_op_change__bhb3hni2/report.json
HIPS__autograd.ac044f0d.func_pm_op_change__n9i51gg0,swesmith/HIPS__autograd.ac044f0d,shard-2,0,0.0,0,44976331,model_terminated,False,0,100,49,780800,15015,795815,empty_patch,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g05-early-turns-validation-200/collection/shard-2/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_op_change__n9i51gg0/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g05-early-turns-validation-200/collection/shard-2/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_op_change__n9i51gg0/HIPS__autograd.ac044f0d.func_pm_op_change__n9i51gg0/HIPS__autograd.ac044f0d.func_pm_op_change__n9i51gg0.traj.json,
HIPS__autograd.ac044f0d.func_pm_op_swap__a3cqmlu2,swesmith/HIPS__autograd.ac044f0d,shard-5,0,0.0,0,1698861744,model_terminated,False,0,138,68,1166211,17372,1183583,empty_patch,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g05-early-turns-validation-200/collection/shard-5/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_op_swap__a3cqmlu2/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g05-early-turns-validation-200/collection/shard-5/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.func_pm_op_swap__a3cqmlu2/HIPS__autograd.ac044f0d.func_pm_op_swap__a3cqmlu2/HIPS__autograd.ac044f0d.func_pm_op_swap__a3cqmlu2.traj.json,
HIPS__autograd.ac044f0d.lm_rewrite__bwa9chhe,swesmith/HIPS__autograd.ac044f0d,shard-3,0,0.0,0,1290604142,completed,True,20387,86,42,516252,8077,524329,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g05-early-turns-validation-200/collection/shard-3/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.lm_rewrite__bwa9chhe/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g05-early-turns-validation-200/collection/shard-3/samples/sample-0/trajectories/HIPS__autograd.ac044f0d.lm_rewrite__bwa9chhe/HIPS__autograd.ac044f0d.lm_rewrite__bwa9chhe/HIPS__autograd.ac044f0d.lm_rewrite__bwa9chhe.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g05-early-turns-validation-200/evaluation/sample-0/logs/HIPS__autograd.ac044f0d.lm_rewrite__bwa9chhe/report.json
aio-libs__async-timeout.d0baa9f1.func_basic__eghnoura,swesmith/aio-libs__async-timeout.d0baa9f1,shard-6,0,0.0,0,1856995445,completed,True,12835,34,16,86005,2359,88364,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g05-early-turns-validation-200/collection/shard-6/samples/sample-0/trajectories/aio-libs__async-timeout.d0baa9f1.func_basic__eghnoura/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g05-early-turns-validation-200/collection/shard-6/samples/sample-0/trajectories/aio-libs__async-timeout.d0baa9f1.func_basic__eghnoura/aio-libs__async-timeout.d0baa9f1.func_basic__eghnoura/aio-libs__async-timeout.d0baa9f1.func_basic__eghnoura.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g05-early-turns-validation-200/evaluation/sample-0/logs/aio-libs__async-timeout.d0baa9f1.func_basic__eghnoura/report.json
cknd__stackprinter.219fcc52.combine_file__7moimff0,swesmith/cknd__stackprinter.219fcc52,shard-6,0,0.0,0,2049211399,completed,True,33195,48,23,184799,4114,188913,unresolved,False,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g05-early-turns-validation-200/collection/shard-6/samples/sample-0/trajectories/cknd__stackprinter.219fcc52.combine_file__7moimff0/trajectory.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g05-early-turns-validation-200/collection/shard-6/samples/sample-0/trajectories/cknd__stackprinter.219fcc52.combine_file__7moimff0/cknd__stackprinter.219fcc52.combine_file__7moimff0/cknd__stackprinter.219fcc52.combine_file__7moimff0.traj.json,/lambda/nfs/Debug-Depo/debug-depo-persistent/scratch/runs/swesmith-train-1000-r2-dmpo-g05-early-turns-validation-200/evaluation/sample-0/logs/cknd__stackprinter.219fcc52.combine_file__7moimff0/report.json
